"ID","NAME","DATE","CHL","TP"
"643137","Muskellunge Lake - Deep Hole",1994-08-29,16.1,43
"643257","South Turtle Lake - Deep Hole",1994-09-07,7.29,23
"643109","Sunset Lake - Deepest Spot",1994-09-11,1.87,10
"643084","McDonald Lake - Deep Hole",1994-09-18,5.04,14
"643407","Crab Lake - Deep Hole",1994-09-19,2.06,13
"643366","Afterglow Lake - Deep Hole",1994-09-26,6,8
"643401","Anvil Lake - Deep Hole",1994-09-28,5.84,22.5
"643237","Little Crooked Lake - Deep Hole",1994-10-02,13.7,26
"643412","Hennig Lake at Deep Hole",1994-10-10,2.99,23
"643341","Boot Lake - Deep Hole",1994-10-16,11.4,35
"643080","Long Lake - Deep Hole",1994-10-18,3.87,15
"643077","Little Spider Lake - Deep Hole",1994-10-27,8.77,24
"643402","Harris Lake - Deep Hole",1994-10-31,3.56,15
"643249","North Turtle Lake - Deep Hole",1994-11-07,9.95,18
"643257","South Turtle Lake - Deep Hole",1994-11-09,10.1,17
"643411","Van Vliet Lake - Deep Hole",1994-11-14,6.55,23
"643084","McDonald Lake - Deep Hole",1994-11-19,3.67,14
"643401","Anvil Lake - Deep Hole",1995-05-15,4.42,13
"643137","Muskellunge Lake - Deep Hole",1995-05-18,13.9,46
"643249","North Turtle Lake - Deep Hole",1995-05-18,5.23,18
"643084","McDonald Lake - Deep Hole",1995-05-21,2.61,10
"643160","Seventeen Lake - Deep Hole",1995-05-23,1.47,9
"643109","Sunset Lake - Deepest Spot",1995-05-23,0.73,8
"643080","Long Lake - Deep Hole",1995-05-25,4.77,10
"643366","Afterglow Lake - Deep Hole",1995-05-30,3.69,12
"643412","Hennig Lake at Deep Hole",1995-05-30,1.81,11
"643257","South Turtle Lake - Deep Hole",1995-05-30,6.16,9
"643109","Sunset Lake - Deepest Spot",1995-06-13,0.29,7
"643080","Long Lake - Deep Hole",1995-06-14,0.598,13
"643249","North Turtle Lake - Deep Hole",1995-06-14,1.28,10
"643077","Little Spider Lake - Deep Hole",1995-06-16,2.33,9
"643341","Boot Lake - Deep Hole",1995-06-18,1.93,13
"643137","Muskellunge Lake - Deep Hole",1995-06-20,5.93,21
"643160","Seventeen Lake - Deep Hole",1995-06-20,0.864,9
"643084","McDonald Lake - Deep Hole",1995-06-25,3.98,15
"643366","Afterglow Lake - Deep Hole",1995-06-26,3.19,10
"643237","Little Crooked Lake - Deep Hole",1995-06-26,1.84,14
"643401","Anvil Lake - Deep Hole",1995-06-27,1.06,7.5
"643080","Long Lake - Deep Hole",1995-07-07,0.61,9
"643257","South Turtle Lake - Deep Hole",1995-07-12,1.36,16
"643077","Little Spider Lake - Deep Hole",1995-07-19,0.02,12
"643249","North Turtle Lake - Deep Hole",1995-07-19,0.36,12
"643407","Crab Lake - Deep Hole",1995-07-23,1.05,10
"643341","Boot Lake - Deep Hole",1995-07-24,0.06,29
"643237","Little Crooked Lake - Deep Hole",1995-07-24,0.05,15
"643402","Harris Lake - Deep Hole",1995-07-25,0.02,7
"643366","Afterglow Lake - Deep Hole",1995-08-01,0.22,11
"643080","Long Lake - Deep Hole",1995-08-06,0.1,9
"643137","Muskellunge Lake - Deep Hole",1995-08-07,0.05,50
"643257","South Turtle Lake - Deep Hole",1995-08-15,6.91,21
"643341","Boot Lake - Deep Hole",1995-08-21,7.64,44
"643237","Little Crooked Lake - Deep Hole",1995-08-21,7.64,17
"643249","North Turtle Lake - Deep Hole",1995-08-21,2.78,11
"643366","Afterglow Lake - Deep Hole",1995-08-28,8.92,11
"643401","Anvil Lake - Deep Hole",1995-08-28,6.75,13
"643077","Little Spider Lake - Deep Hole",1995-08-28,14.4,17
"643407","Crab Lake - Deep Hole",1995-08-29,2.59,8
"643412","Hennig Lake at Deep Hole",1995-09-05,4.69,14
"643109","Sunset Lake - Deepest Spot",1995-09-11,2.9,11
"643077","Little Spider Lake - Deep Hole",1995-09-12,18.1,29
"643257","South Turtle Lake - Deep Hole",1995-09-16,25.1,30
"643084","McDonald Lake - Deep Hole",1995-09-24,5.38,11
"643366","Afterglow Lake - Deep Hole",1995-09-26,5.31,24
"643237","Little Crooked Lake - Deep Hole",1995-09-26,9.66,23
"643252","Papoose Lake - Deep Hole",1995-10-04,3.26,9
"643407","Crab Lake - Deep Hole",1995-10-10,3.76,15
"643080","Long Lake - Deep Hole",1995-10-10,3.74,10
"643137","Muskellunge Lake - Deep Hole",1995-10-12,18.5,47
"643372","Diamond Lake - Deep Hole",1995-10-15,3.04,12
"643160","Seventeen Lake - Deep Hole",1995-10-16,5.58,12
"643341","Boot Lake - Deep Hole",1995-10-21,10.9,36
"643420","Presque Isle Lake - Deep Hole",1995-10-22,3.1,8
"643084","McDonald Lake - Deep Hole",1995-11-05,2.13,7
"643249","North Turtle Lake - Deep Hole",1995-11-06,6.95,24
"643257","South Turtle Lake - Deep Hole",1995-11-08,6.52,13
"643257","South Turtle Lake - Deep Hole",1996-05-20,6.99,22
"643252","Papoose Lake - Deep Hole",1996-05-21,4.71,16
"643084","McDonald Lake - Deep Hole",1996-05-27,2.4,11
"643249","North Turtle Lake - Deep Hole",1996-05-27,8.39,20
"643109","Sunset Lake - Deepest Spot",1996-05-28,2.11,12
"643077","Little Spider Lake - Deep Hole",1996-05-29,4.22,17
"643080","Long Lake - Deep Hole",1996-05-29,8.74,17
"643137","Muskellunge Lake - Deep Hole",1996-05-29,37.3,58
"643429","North Twin Lake - Site 1-Mid / North Central Part Of Lake - Deep Hole",1996-05-30,8.9,23
"643430","North Twin Lake - Site 2-SW Basin",1996-05-30,7.76,12
"643435","North Twin Lake - Site 3-NE Basin",1996-05-30,4.86,16
"643366","Afterglow Lake - Deep Hole",1996-06-05,13.5,20
"643402","Harris Lake - Deep Hole",1996-06-05,2.36,10
"643164","Plum Lake - Site 1-Deep Hole",1996-06-10,3.37,12
"643407","Crab Lake - Deep Hole",1996-06-13,2.46,9
"643372","Diamond Lake - Deep Hole",1996-06-16,1.96,7
"643084","McDonald Lake - Deep Hole",1996-06-16,2.58,14
"643341","Boot Lake - Deep Hole",1996-06-23,13.9,27
"643077","Little Spider Lake - Deep Hole",1996-06-25,4.28,13
"643137","Muskellunge Lake - Deep Hole",1996-06-25,14,43
"643249","North Turtle Lake - Deep Hole",1996-06-25,2.33,10
"643080","Long Lake - Deep Hole",1996-06-27,3.78,12
"643430","North Twin Lake - Site 2-SW Basin",1996-06-27,2.37,7
"643435","North Twin Lake - Site 3-NE Basin",1996-06-27,3.58,15
"643257","South Turtle Lake - Deep Hole",1996-07-01,7.69,16
"643109","Sunset Lake - Deepest Spot",1996-07-01,2.24,10
"643366","Afterglow Lake - Deep Hole",1996-07-03,16.9,15
"643106","South Twin Lake - Deep Hole",1996-07-06,1.76,15
"643430","North Twin Lake - Site 2-SW Basin",1996-07-14,4.58,10
"643435","North Twin Lake - Site 3-NE Basin",1996-07-14,4.27,11
"643407","Crab Lake - Deep Hole",1996-07-15,2.98,14
"643412","Hennig Lake at Deep Hole",1996-07-16,3.16,8
"643237","Little Crooked Lake - Deep Hole",1996-07-16,5.53,20
"643402","Harris Lake - Deep Hole",1996-07-17,2.26,8
"643341","Boot Lake - Deep Hole",1996-07-21,20,38
"643080","Long Lake - Deep Hole",1996-07-25,2.46,9
"643429","North Twin Lake - Site 1-Mid / North Central Part Of Lake - Deep Hole",1996-07-25,3.84,10
"643401","Anvil Lake - Deep Hole",1996-07-29,17.6,17
"643137","Muskellunge Lake - Deep Hole",1996-07-29,22.4,52
"643132","Johnson Lake - Deep Hole",1996-07-30,6.04,12
"643249","North Turtle Lake - Deep Hole",1996-07-30,5.93,13
"643366","Afterglow Lake - Deep Hole",1996-08-06,4.86,19
"643109","Sunset Lake - Deepest Spot",1996-08-07,2.55,9
"643252","Papoose Lake - Deep Hole",1996-08-12,1.46,8
"643257","South Turtle Lake - Deep Hole",1996-08-12,8.74,22
"643080","Long Lake - Deep Hole",1996-08-17,2.55,9
"643084","McDonald Lake - Deep Hole",1996-08-18,4.2,19
"643430","North Twin Lake - Site 2-SW Basin",1996-08-18,2.76,9
"643435","North Twin Lake - Site 3-NE Basin",1996-08-18,4.87,11
"643407","Crab Lake - Deep Hole",1996-08-19,1.85,9
"643132","Johnson Lake - Deep Hole",1996-08-20,3.55,10
"643237","Little Crooked Lake - Deep Hole",1996-08-20,7.48,14
"643137","Muskellunge Lake - Deep Hole",1996-08-21,18.1,30
"643106","South Twin Lake - Deep Hole",1996-08-21,2.85,9
"643401","Anvil Lake - Deep Hole",1996-08-25,7.19,7
"643341","Boot Lake - Deep Hole",1996-08-25,20.9,34
"643402","Harris Lake - Deep Hole",1996-08-25,2.42,10
"643077","Little Spider Lake - Deep Hole",1996-08-27,6.65,14
"643372","Diamond Lake - Deep Hole",1996-09-02,0.83,11
"643366","Afterglow Lake - Deep Hole",1996-09-03,7.38,19
"643249","North Turtle Lake - Deep Hole",1996-09-03,5.44,16
"643407","Crab Lake - Deep Hole",1996-09-17,3.27,11
"643109","Sunset Lake - Deepest Spot",1996-09-23,3.23,10
"643412","Hennig Lake at Deep Hole",1996-09-24,1.95,10
"643420","Presque Isle Lake - Deep Hole",1996-09-24,2.29,7
"643401","Anvil Lake - Deep Hole",1996-09-29,6.06,15
"643257","South Turtle Lake - Deep Hole",1996-09-30,9.7,23
"643237","Little Crooked Lake - Deep Hole",1996-10-01,13.4,20
"643106","South Twin Lake - Deep Hole",1996-10-05,7.12,17
"643084","McDonald Lake - Deep Hole",1996-10-06,4.62,11
"643080","Long Lake - Deep Hole",1996-10-07,2.95,10
"643407","Crab Lake - Deep Hole",1996-10-08,2.62,15
"643429","North Twin Lake - Site 1-Mid / North Central Part Of Lake - Deep Hole",1996-10-08,5.33,26
"643137","Muskellunge Lake - Deep Hole",1996-10-09,28.3,32
"643252","Papoose Lake - Deep Hole",1996-10-11,3.14,11
"643372","Diamond Lake - Deep Hole",1996-10-12,1.66,8
"643198","Big Hurst Lake - Max Depth",1996-10-13,2.44,10
"643430","North Twin Lake - Site 2-SW Basin",1996-10-14,8.64,18
"643435","North Twin Lake - Site 3-NE Basin",1996-10-14,11,18
"643077","Little Spider Lake - Deep Hole",1996-10-15,4.75,14
"643106","South Twin Lake - Deep Hole",1996-10-19,6.95,16
"643341","Boot Lake - Deep Hole",1996-10-20,20.5,42
"643173","Fence Lake - Deep Hole-North",1996-10-21,4.71,12
"643165","Big Portage Lake - Deep Hole",1996-10-23,3.24,7
"643132","Johnson Lake - Deep Hole",1996-10-25,8.24,16
"643249","North Turtle Lake - Deep Hole",1996-11-03,11.2,17
"643173","Fence Lake - Deep Hole-North",1997-06-09,0.76,24
"643249","North Turtle Lake - Deep Hole",1997-06-09,2.38,30
"643109","Sunset Lake - Deepest Spot",1997-06-09,1.39,16
"643132","Johnson Lake - Deep Hole",1997-06-16,2.5,43.5
"643165","Big Portage Lake - Deep Hole",1997-06-17,1.1,11.9
"643237","Little Crooked Lake - Deep Hole",1997-06-17,4,54
"643429","North Twin Lake - Site 1-Mid / North Central Part Of Lake - Deep Hole",1997-06-17,1.08,49
"643252","Papoose Lake - Deep Hole",1997-06-18,2.82,18
"643195","Carlin Lake - Deep Hole",1997-06-21,0.82,4
"643415","Clear Lake - Deep Hole (42 05e 12)",1997-06-21,2.02,12
"643449","Forest Lake - Deep Hole",1997-06-21,1.65,12
"643078","Little Star Lake - Deep Hole",1997-06-21,1.51,40
"643444","Annabelle Lake - Deep Hole",1997-06-22,4.4,21
"643446","Bobidosh Lake - Deep Hole",1997-06-22,1.44,4
"643341","Boot Lake - Deep Hole",1997-06-22,10.2,32
"643137","Muskellunge Lake - Deep Hole",1997-06-22,8.28,74
"643257","South Turtle Lake - Deep Hole",1997-06-23,3.69,38
"643081","Lost Lake - Deep Hole",1997-06-24,3.98,28
"643430","North Twin Lake - Site 2-SW Basin",1997-06-26,1.44,34
"643435","North Twin Lake - Site 3-NE Basin",1997-06-27,1.51,33
"643077","Little Spider Lake - Deep Hole",1997-06-28,2.89,21
"643372","Diamond Lake - Deep Hole",1997-06-29,0.47,6
"643084","McDonald Lake - Deep Hole",1997-06-29,2.61,14
"643252","Papoose Lake - Deep Hole",1997-07-07,2.32,7
"643450","Roach Lake - Max Depth",1997-07-07,0.7,8
"643195","Carlin Lake - Deep Hole",1997-07-10,0.91,10
"643249","North Turtle Lake - Deep Hole",1997-07-13,6.3,27
"643165","Big Portage Lake - Deep Hole",1997-07-14,1.48,12
"643444","Annabelle Lake - Deep Hole",1997-07-15,3.91,13
"643446","Bobidosh Lake - Deep Hole",1997-07-15,5.34,25
"643412","Hennig Lake at Deep Hole",1997-07-15,2.49,14
"643132","Johnson Lake - Deep Hole",1997-07-15,4.38,37
"643429","North Twin Lake - Site 1-Mid / North Central Part Of Lake - Deep Hole",1997-07-16,1.82,40
"643042","Anderson Lake - Deep Hole",1997-07-18,1.08,30
"643194","Broken Bow Lake - Deep Hole",1997-07-20,5.8,21
"643420","Presque Isle Lake - Deep Hole",1997-07-20,1.05,47
"643407","Crab Lake - Deep Hole",1997-07-21,3.23,15
"643415","Clear Lake - Deep Hole (42 05e 12)",1997-07-23,2.59,22
"643173","Fence Lake - Deep Hole-North",1997-07-23,1.14,11
"643449","Forest Lake - Deep Hole",1997-07-26,2.56,11
"643341","Boot Lake - Deep Hole",1997-07-27,19.2,43
"643372","Diamond Lake - Deep Hole",1997-07-27,2.92,6
"643435","North Twin Lake - Site 3-NE Basin",1997-07-27,3.99,22
"643237","Little Crooked Lake - Deep Hole",1997-07-28,5.04,27
"643077","Little Spider Lake - Deep Hole",1997-07-28,2.19,21
"643137","Muskellunge Lake - Deep Hole",1997-07-28,23.1,51
"643257","South Turtle Lake - Deep Hole",1997-07-28,3.4,19
"643430","North Twin Lake - Site 2-SW Basin",1997-07-31,1.15,23
"643412","Hennig Lake at Deep Hole",1997-08-06,2.14,12
"643249","North Turtle Lake - Deep Hole",1997-08-11,3.68,13
"643252","Papoose Lake - Deep Hole",1997-08-13,1.73,11
"643094","Pioneer Lake - Deep Hole",1997-08-13,11.8,33
"643194","Broken Bow Lake - Deep Hole",1997-08-16,12.6,19
"643109","Sunset Lake - Deepest Spot",1997-08-17,3.72,8
"643446","Bobidosh Lake - Deep Hole",1997-08-19,3.06,6
"643429","North Twin Lake - Site 1-Mid / North Central Part Of Lake - Deep Hole",1997-08-21,4.11,13
"643106","South Twin Lake - Deep Hole",1997-08-22,3.7,14
"643449","Forest Lake - Deep Hole",1997-08-23,2.37,20
"643401","Anvil Lake - Deep Hole",1997-08-24,3.88,7
"643341","Boot Lake - Deep Hole",1997-08-24,30.1,58
"643084","McDonald Lake - Deep Hole",1997-08-24,7,12
"643420","Presque Isle Lake - Deep Hole",1997-08-24,1.23,12
"643137","Muskellunge Lake - Deep Hole",1997-08-25,28.6,63
"643257","South Turtle Lake - Deep Hole",1997-08-25,8.31,18
"643415","Clear Lake - Deep Hole (42 05e 12)",1997-08-26,5.58,23
"643407","Crab Lake - Deep Hole",1997-08-26,3.43,14
"643173","Fence Lake - Deep Hole-North",1997-08-27,1.61,14
"643430","North Twin Lake - Site 2-SW Basin",1997-08-29,2.27,25
"643435","North Twin Lake - Site 3-NE Basin",1997-08-29,3.58,24
"643366","Afterglow Lake - Deep Hole",1997-09-02,3.42,15
"643077","Little Spider Lake - Deep Hole",1997-09-02,4.02,19
"643415","Clear Lake - Deep Hole (42 05e 12)",1997-09-14,8.08,25
"643420","Presque Isle Lake - Deep Hole",1997-09-14,1.17,18
"643081","Lost Lake - Deep Hole",1997-09-23,24.6,86
"643237","Little Crooked Lake - Deep Hole",1997-10-01,9.36,29
"643401","Anvil Lake - Deep Hole",1997-10-04,5.23,7
"643415","Clear Lake - Deep Hole (42 05e 12)",1997-10-04,12.6,31
"643444","Annabelle Lake - Deep Hole",1997-10-05,6.68,16
"643366","Afterglow Lake - Deep Hole",1997-10-06,10.5,29
"643042","Anderson Lake - Deep Hole",1997-10-15,2.2,15
"643252","Papoose Lake - Deep Hole",1997-10-15,4.28,18
"643429","North Twin Lake - Site 1-Mid / North Central Part Of Lake - Deep Hole",1997-10-16,13.3,21
"643094","Pioneer Lake - Deep Hole",1997-10-16,7.49,30
"643106","South Twin Lake - Deep Hole",1997-10-16,10.1,20
"643430","North Twin Lake - Site 2-SW Basin",1997-10-17,11,29
"643435","North Twin Lake - Site 3-NE Basin",1997-10-17,13,31
"643449","Forest Lake - Deep Hole",1997-10-18,3.19,12
"643420","Presque Isle Lake - Deep Hole",1997-10-20,3.46,19
"643173","Fence Lake - Deep Hole-North",1997-10-22,5.09,16
"643137","Muskellunge Lake - Deep Hole",1997-10-22,26.7,66
"643407","Crab Lake - Deep Hole",1997-10-25,3.93,15
"643249","North Turtle Lake - Deep Hole",1997-10-26,9.19,30
"643257","South Turtle Lake - Deep Hole",1997-10-27,11.6,27
"643084","McDonald Lake - Deep Hole",1997-11-09,4.4,5
"643249","North Turtle Lake - Deep Hole",1998-06-02,1.98,14
"643430","North Twin Lake - Site 2-SW Basin",1998-06-02,2.73,21
"643435","North Twin Lake - Site 3-NE Basin",1998-06-03,3.24,18
"643415","Clear Lake - Deep Hole (42 05e 12)",1998-06-08,2.67,17
"643237","Little Crooked Lake - Deep Hole",1998-06-08,5.73,17
"643077","Little Spider Lake - Deep Hole",1998-06-08,2.41,9
"643449","Forest Lake - Deep Hole",1998-06-13,4.05,11
"643444","Annabelle Lake - Deep Hole",1998-06-14,3.45,10
"643084","McDonald Lake - Deep Hole",1998-06-14,1.7,8
"643446","Bobidosh Lake - Deep Hole",1998-06-15,5.53,14
"643081","Lost Lake - Deep Hole",1998-06-15,2.37,17
"643429","North Twin Lake - Site 1-Mid / North Central Part Of Lake - Deep Hole",1998-06-15,1.87,9
"643252","Papoose Lake - Deep Hole",1998-06-15,1.62,9
"643094","Pioneer Lake - Deep Hole",1998-06-15,3.93,15
"643257","South Turtle Lake - Deep Hole",1998-06-15,3.58,16
"643042","Anderson Lake - Deep Hole",1998-06-16,0.67,5
"643137","Muskellunge Lake - Deep Hole",1998-06-16,10.6,30
"643366","Afterglow Lake - Deep Hole",1998-06-23,4.75,11
"643194","Broken Bow Lake - Deep Hole",1998-06-23,3.17,17
"643173","Fence Lake - Deep Hole-North",1998-06-23,0.99,5
"643401","Anvil Lake - Deep Hole",1998-06-27,2.54,6
"643415","Clear Lake - Deep Hole (42 05e 12)",1998-06-30,4.27,5
"643487","Moss Lake - Deep Hole",1998-06-30,2.88,10
"643249","North Turtle Lake - Deep Hole",1998-07-01,7.34,12
"643077","Little Spider Lake - Deep Hole",1998-07-03,2.17,11
"643450","Roach Lake - Max Depth",1998-07-05,0.92,5
"643444","Annabelle Lake - Deep Hole",1998-07-10,4.34,11
"643430","North Twin Lake - Site 2-SW Basin",1998-07-11,3,12
"643435","North Twin Lake - Site 3-NE Basin",1998-07-12,2.43,12
"643252","Papoose Lake - Deep Hole",1998-07-13,1.08,8
"643257","South Turtle Lake - Deep Hole",1998-07-14,4.22,14
"643109","Sunset Lake - Deepest Spot",1998-07-14,1.45,8
"643482","Found Lake - SW Site",1998-07-15,1.74,24
"643446","Bobidosh Lake - Deep Hole",1998-07-16,5.77,16
"643094","Pioneer Lake - Deep Hole",1998-07-16,4.88,16
"643449","Forest Lake - Deep Hole",1998-07-18,2.32,7
"643415","Clear Lake - Deep Hole (42 05e 12)",1998-07-20,5.05,27
"643237","Little Crooked Lake - Deep Hole",1998-07-20,8.04,17
"643081","Lost Lake - Deep Hole",1998-07-20,3.16,23
"643429","North Twin Lake - Site 1-Mid / North Central Part Of Lake - Deep Hole",1998-07-20,2.57,10
"643106","South Twin Lake - Deep Hole",1998-07-20,2.15,12
"643042","Anderson Lake - Deep Hole",1998-07-21,1.42,6
"643487","Moss Lake - Deep Hole",1998-07-21,3.94,13
"643137","Muskellunge Lake - Deep Hole",1998-07-22,16.2,81
"643450","Roach Lake - Max Depth",1998-07-22,0.58,6
"643195","Carlin Lake - Deep Hole",1998-07-25,0.73,5
"643084","McDonald Lake - Deep Hole",1998-07-26,5.38,12
"643366","Afterglow Lake - Deep Hole",1998-07-28,3.56,8
"643401","Anvil Lake - Deep Hole",1998-08-01,2.03,7
"643249","North Turtle Lake - Deep Hole",1998-08-04,5.21,12
"643077","Little Spider Lake - Deep Hole",1998-08-05,5.2,11
"643415","Clear Lake - Deep Hole (42 05e 12)",1998-08-11,4.79,17
"643444","Annabelle Lake - Deep Hole",1998-08-12,2.43,12
"643430","North Twin Lake - Site 2-SW Basin",1998-08-14,5.7,17
"643435","North Twin Lake - Site 3-NE Basin",1998-08-15,5.3,17
"643094","Pioneer Lake - Deep Hole",1998-08-15,11.8,21
"643109","Sunset Lake - Deepest Spot",1998-08-17,1.11,9
"643446","Bobidosh Lake - Deep Hole",1998-08-18,2.35,5
"643173","Fence Lake - Deep Hole-North",1998-08-18,1.66,7
"643463","Murphy Lake - Deep Hole",1998-08-19,4.41,12
"643487","Moss Lake - Deep Hole",1998-08-20,4.27,13
"643252","Papoose Lake - Deep Hole",1998-08-21,1.34,8
"643106","South Twin Lake - Deep Hole",1998-08-21,3.02,14
"643132","Johnson Lake - Deep Hole",1998-08-24,8.2,16
"643237","Little Crooked Lake - Deep Hole",1998-08-24,11.5,19
"643078","Little Star Lake - Deep Hole",1998-08-24,1.55,8
"643450","Roach Lake - Max Depth",1998-08-24,1.33,5
"643366","Afterglow Lake - Deep Hole",1998-08-25,2.09,9
"643257","South Turtle Lake - Deep Hole",1998-08-25,18.9,21
"643137","Muskellunge Lake - Deep Hole",1998-08-26,28.3,57
"643195","Carlin Lake - Deep Hole",1998-08-28,2.27,8
"643194","Broken Bow Lake - Deep Hole",1998-08-30,4.65,9
"643407","Crab Lake - Deep Hole",1998-09-01,1.8,8
"643084","McDonald Lake - Deep Hole",1998-09-07,1.59,8
"643415","Clear Lake - Deep Hole (42 05e 12)",1998-09-11,10.8,39
"643401","Anvil Lake - Deep Hole",1998-09-12,6.02,9
"643109","Sunset Lake - Deepest Spot",1998-09-15,1.62,7
"643077","Little Spider Lake - Deep Hole",1998-09-17,6.97,21
"643088","Moon Lake - Deep Hole",1998-09-23,2.75,8
"643415","Clear Lake - Deep Hole (42 05e 12)",1998-09-28,16.2,38
"643407","Crab Lake - Deep Hole",1998-09-29,2.95,10
"643237","Little Crooked Lake - Deep Hole",1998-10-03,7.87,30
"643482","Found Lake - SW Site",1998-10-08,7.72,32
"643088","Moon Lake - Deep Hole",1998-10-09,2.98,9
"643047","Alma Lake - Deep Hole",1998-10-10,1.21,10
"643444","Annabelle Lake - Deep Hole",1998-10-10,4.33,11.5
"643195","Carlin Lake - Deep Hole",1998-10-10,9.38,8
"643446","Bobidosh Lake - Deep Hole",1998-10-12,2.49,6
"643137","Muskellunge Lake - Deep Hole",1998-10-12,17.8,27
"643132","Johnson Lake - Deep Hole",1998-10-13,17.3,19
"643081","Lost Lake - Deep Hole",1998-10-13,5.41,26
"643463","Murphy Lake - Deep Hole",1998-10-13,4.94,16
"643042","Anderson Lake - Deep Hole",1998-10-14,2.06,11
"643094","Pioneer Lake - Deep Hole",1998-10-14,8.46,26
"643252","Papoose Lake - Deep Hole",1998-10-15,2.99,11
